court,cohesion,n_votos,carga,stratum,reporter,weight,maj_opin_assigner,year
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,8,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,HABlackmun,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,7,119,,,1.0,HABlackmun,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,HABlackmun,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,HABlackmun,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
