Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","Afghanistan","AFG","","","","0.213449805430825","","7.466","2.06782464846981","","","12249114","","162.8354"
1990,"YR1990","Albania","ALB","100","","","1.67810665434977","172.196392710364","2.978","28.7883211678832","","","3286542","","17.7766"
1990,"YR1990","Algeria","DZA","100","200","","2.97040907146769","83.6350690972598","4.726","0.699908470278032","","11.8","25912367","","27.8012"
1990,"YR1990","American Samoa","ASM","","","","","","","91.95","","","47038","",""
1990,"YR1990","Andorra","AND","","","","7.46733566933901","","","34.0425531914894","","","54509","",""
1990,"YR1990","Angola","AGO","500","1100","","0.420284253935093","140.887727469781","7.247","48.9099221945937","","","12171441","","216"
1990,"YR1990","Antigua and Barbuda","ATG","","","","4.23352225020991","90.4559578047274","2.061","23.4090909090909","","6.9","66696","","76.489"
1990,"YR1990","Arab World","ARB","","","","2.98900807203007","93.8748463997526","5.20619229940432","3.68424788301754","73.08461","","224735446","","69.4671600130625"
1990,"YR1990","Argentina","ARG","500","1300","","3.42648198325077","130.124243663967","2.989","12.7135335021504","","30.5","32729739","","73.2812"
1990,"YR1990","Armenia","ARM","100","","","","582.119923078782","2.544","11.7667720407446","","","3538165","","74.2962"
1990,"YR1990","Aruba","ABW","","","","26.3745032100275","","2.249","2.33333333333333","","","62149","","50.27"
1990,"YR1990","Australia","AUS","500","","","15.4528816707784","176.615389661544","1.902","16.7320984600966","","","17065100","","20.965"
1990,"YR1990","Austria","AUT","100","","","7.51324615615048","103.379537077739","1.46","45.7253572293533","","","7677850","","20.787"
1990,"YR1990","Azerbaijan","AZE","100","100","","","371.828894275782","2.74","10.2382926565485","","","7159000","","32.7924"
1990,"YR1990","Bahamas, The","BHS","","","","7.61049559952562","81.2296485391743","2.639","51.4485514485514","","","256336","","69.664"
1990,"YR1990","Bahrain","BHR","100","","","25.0588549616781","300.605778783754","3.732","0.318840579710145","","","495931","","26.4034"
1990,"YR1990","Bangladesh","BGD","100","100","","0.146281294377981","93.1372350833289","4.494","11.4772989168011","","87.3","106188642","","153.9566"
1990,"YR1990","Barbados","BRB","100","","","4.12649112430581","85.6733785232437","1.74","14.6511627906977","","","260374","","54.7198"
1990,"YR1990","Belarus","BLR","100","","","","534.52539736081","1.913","38.3553539735752","","","10189000","","41.6556"
1990,"YR1990","Belgium","BEL","","","","10.6396716729644","156.939940801017","1.62","","","","9967379","","11.0454"
1990,"YR1990","Belize","BLZ","100","100","","1.66191242961952","109.630950855541","4.508","70.8474353353792","","","187552","","125.6696"
1990,"YR1990","Benin","BEN","100","200","","0.14215759136896","228.142011544402","6.744","51.0908123448031","","79.3","4978496","","125.2996"
1990,"YR1990","Bermuda","BMU","","","","8.46810841789435","","","20","","","59326","",""
1990,"YR1990","Bhutan","BTN","","","","0.238879169148303","44.8048354935108","5.639","53.6504505275774","","70","537280","","105.9298"
1990,"YR1990","Bolivia","BOL","100","100","","0.839700279044911","102.707295066445","4.894","57.966398966122","","62.2","6856244","","93.1976"
1990,"YR1990","Bosnia and Herzegovina","BIH","","","","","","1.772","43.3333333333333","","","4463422","","30.0996"
1990,"YR1990","Botswana","BWA","850","1800","","1.9613581999431","109.014891235447","4.54","24.2055299701798","","59.2","1377912","","99.1302"
1990,"YR1990","Brazil","BRA","9500","36000","","1.39862060903109","90.747206824319","2.909","65.4098878458604","","36.7","149352145","","83.105"
1990,"YR1990","British Virgin Islands","VGB","","","","4.0098414434117","","","24.7333333333333","","","16461","",""
1990,"YR1990","Brunei Darussalam","BRN","","","","23.9332380161138","78.8103481031731","3.291","78.3681214421252","","","258785","","39.5266"
1990,"YR1990","Bulgaria","BGR","100","","","8.5430107903053","348.216552956274","1.82","30.0732170297388","","","8718289","","70.3296"
1990,"YR1990","Burkina Faso","BFA","6000","24000","","0.066173050745236","","7.007","25.0255847953216","","78.8","8811034","","146.964"
