Country,Region,Election / Renewal,Year,Month,Chamber Type,Chamber Total Seats,Total women,% Of Women in Chamber,NOTES
Afghanistan,ASIA,Yes,1965,July,Lower,210,4,0.01904761904761905,First legislature of Afghanistan after the abolition of the monarchy in 1964
Afghanistan,ASIA,Yes,1965,July,Upper,84,0,0,First legislature of Afghanistan after the abolition of the monarchy in 1964
Afghanistan,ASIA,Yes,1969,,Lower,216,0,0,Parliament was dissolved following a military coup d'Etat in July 1973.
Afghanistan,ASIA,Yes,1969,,Upper,84,0,0,Parliament was dissolved following a military coup d'Etat in July 1973.
Afghanistan,ASIA,Yes,1988,,Lower,235,7,0.029787234042553193,"Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
Afghanistan,ASIA,Yes,1988,,Upper,173,0,0,"Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
Afghanistan,ASIA,Yes,2005,,Lower,249,68,0.27309236947791166,65 seats were reserved for women in general and 10 seats for Kuchis including at least 3 women.
Afghanistan,ASIA,Yes,2005,,Upper,102,23,0.22549019607843138,
Afghanistan,ASIA,Yes,2010,,Lower,249,69,0.27710843373493976,Elections were held for all the seats in the House of the People on the normal expiry of the members' term of office.
Afghanistan,ASIA,Yes,2010,,Upper,102,28,0.27450980392156865,Renewal of the 68 members indirectly elected by the Provincial Councils in November 2005.
Afghanistan,ASIA,Yes,2011,,Upper,102,28,0.27450980392156865,Renewal of the 34 members appointed by the President.
Afghanistan,ASIA,Yes,2015,january,Upper,102,28,0.27450980392156865,
Afghanistan,ASIA,Yes,2018,October,Lower,244,68,0.2786885245901639,
Albania,EUR,Yes,1945,,Single,82,3,0.036585365853658534,
Albania,EUR,Yes,1950,,Single,121,17,0.14049586776859505,
Albania,EUR,Yes,1954,,Single,134,16,0.11940298507462686,
Albania,EUR,Yes,1958,,Single,187,17,0.09090909090909091,
Albania,EUR,Yes,1962,,Single,214,25,0.11682242990654206,
Albania,EUR,Yes,1966,,Single,240,39,0.1625,
Albania,EUR,Yes,1970,,Single,264,72,0.2727272727272727,
Albania,EUR,Yes,1974,,Single,250,83,0.332,
Albania,EUR,Yes,1978,,Single,250,81,0.324,
Albania,EUR,Yes,1982,,Single,250,76,0.304,
Albania,EUR,Yes,1987,,Single,250,72,0.288,
Albania,EUR,Yes,1991,,Single,250,9,0.036,
Albania,EUR,Yes,1992,,Single,140,8,0.05714285714285714,
Albania,EUR,Yes,1996,,Single,140,17,0.12142857142857143,
Albania,EUR,Yes,2001,,Single,140,8,0.05714285714285714,
Albania,EUR,Yes,2005,,Single,140,10,0.07142857142857142,
Albania,EUR,Yes,2009,,Single,140,23,0.16428571428571428,
Albania,EUR,Yes,2013,january ,Single,140,22,0.15714285714285714,
Albania,EUR,Yes,2017,June,Single,140,39,0.2785714285714286,
Algeria,MENA,Yes,1962,,Single,196,10,0.05102040816326531,First legislature of Algeria after the country became independent on 5 July 1962
Algeria,MENA,Yes,1964,,Single,138,2,0.014492753623188406,The Assembly was later dissolved following a military coup d'Etat on 19 June 1965.
Algeria,MENA,Yes,1977,,Single,261,10,0.038314176245210725,
Algeria,MENA,Yes,1982,,Single,282,4,0.014184397163120567,
Algeria,MENA,Yes,1987,,Single,295,7,0.023728813559322035,
Algeria,MENA,Yes,1991,,Temporary Assembly,60,6,0.1,Legislative elections organized for the renewal of the National Assembly were cancelled on 12 January 1992 following the first round of voting.  Presidential Decree N° 02-39 of 4 February 1992 established a 60-member Consultative National Council all appointed for an indeterminate period; women among the members of the Council:  10.0%.
Algeria,MENA,Yes,1994,,Temporary Assembly,178,12,0.06741573033707865,"The nominal number of seats is 200, but there were 22 vacancies at the time. All appointed; Pursuant to Article 27 of Presidential Decree N° 94-49 of 29 January 1994, the National Transitional Council comprises 200 designated members, depending on the case, by the State or their group and vested by decree for the entire transitional period."
Algeria,MENA,Yes,1997,,Single,183,12,0.06557377049180328,
Algeria,MENA,Yes,2002,,Lower,389,24,0.061696658097686374,
Algeria,MENA,Yes,2002,August,Lower,389,24,0.061696658097686374,
Algeria,MENA,Yes,2003,,Upper,144,28,0.19444444444444445,Indirect elections for only half of the 96 seats up for election (remaining 48 appointed).
Algeria,MENA,Yes,2006,,Upper,129,4,0.031007751937984496,Partial renewal for 57 MPs: 48 members/0 women indirectly elected; 9 members/2 women appointed.
Algeria,MENA,Yes,2007,May- June,Lower,389,28,0.07197943444730077,
Algeria,MENA,Yes,2007,May- September,Lower,389,30,0.07712082262210797,
Algeria,MENA,Yes,2009,,Upper,136,7,0.051470588235294115,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.
Algeria,MENA,Yes,2012,,Lower,462,146,0.31601731601731603,"The Green Algeria Coalition comprised the Movement of Society for Peace (MSP, which had left the tripartite presidential alliance in January 2012; the Islamic Renaissance Movement (Ennahda) and the National Reform Movement. Eight seats are reserved for Algerians residing abroad."
Algeria,MENA,Yes,2012,,Upper,142,10,0.07042253521126761,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.
Algeria,MENA,Yes,2015,,Upper,144,10,0.06944444444444445,
Algeria,MENA,Yes,2017,May,Lower,462,119,0.25757575757575757,
