classe,num_processo,reu_preso_recorreu,seq_jurisdicionado,mp,pena_fixada_decisao_recorrida_anos,pena_fixada_decisao_recorrida_meses,sucesso_recurso,obs
REsp,1496317,,1384,false,0,0,0,Discussão cível
REsp,1496317,,34,false,0,0,0,Discussão cível
AREsp,805570,1,978,false,9,9,0,
AREsp,561496,,983,false,0,0,0,Agravo de execução
AREsp,521115,1,912,false,9,4,0,
AREsp,670317,0,777,false,0,3,0,
AREsp,642206,,1652,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1522853,,352,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1543666,0,1957,false,4,0,0,
AREsp,644246,0,819,false,0,1,0,Substituição da pena privativa de liberd
REsp,1480018,0,2497,false,0,0,0,Réu absolvido no recurso
AREsp,499938,0,943,false,0,0,0,Réu absolvido no recurso
REsp,1527896,0,1558,false,5,1,0,
REsp,1482057,,2194,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1492587,0,2068,false,1,2,0,Substituição da pena privativa de liberd
AREsp,798950,0,1318,false,5,0,0,
AREsp,528426,,2548,false,0,0,0,Processo sob segredo de justiça (condena
AREsp,710743,1,1051,false,9,0,0,
AREsp,737481,0,2259,false,3,0,0,Substituição da pena privativa de liberd
AREsp,627109,0,2417,false,1,4,0,Substituição da pena privativa de liberd
REsp,1490417,0,1295,false,1,8,0,
AREsp,591598,0,1029,false,4,8,0,
AREsp,703951,0,894,false,2,0,0,Substituição da pena privativa de liberd
AREsp,559418,1,1512,false,5,1,0,
REsp,1556326,0,892,false,5,1,0,
REsp,1530756,0,1935,false,1,5,0,
REsp,1491457,0,515,false,1,2,0,Substituição da pena privativa de liberd
AREsp,593444,1,2628,false,14,0,0,
AREsp,531234,,2542,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1451657,0,1797,false,5,5,0,
AREsp,790832,0,358,false,2,7,0,
AREsp,811853,0,1320,false,1,0,0,Substituição da pena privativa de liberd
REsp,1512772,0,1053,false,2,8,0,
AREsp,671576,0,2247,false,1,6,0,
AREsp,761936,0,884,false,12,0,0,
AREsp,478142,0,303,false,3,9,0,
REsp,1445479,0,229,false,0,0,0,Réu absolvido em procedimento ordinário
REsp,1541517,,2318,false,0,0,0,Agravo de execução
AREsp,734194,0,599,false,0,1,0,Concedido sursis
AREsp,732414,,716,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1531034,0,893,false,0,1,0,Substituição da pena privativa de liberd
AREsp,565928,,760,false,0,0,0,Discussão cível
AREsp,786082,,1472,false,0,0,0,Agravo de execução
AREsp,786082,,2610,false,0,0,0,Agravo de execução
AREsp,786082,,90,false,0,0,0,Agravo de execução
AREsp,786082,,2290,false,0,0,0,Agravo de execução
AREsp,786082,,1733,false,0,0,0,Agravo de execução
AREsp,786082,,413,false,0,0,0,Agravo de execução
AREsp,786082,,519,false,0,0,0,Agravo de execução
AREsp,786082,,2080,false,0,0,0,Agravo de execução
AREsp,786082,,1975,false,0,0,0,Agravo de execução
AREsp,786082,,1656,false,0,0,0,Agravo de execução
AREsp,786082,,1194,false,0,0,0,Agravo de execução
AREsp,786082,,1474,false,0,0,0,Agravo de execução
AREsp,786082,,921,false,0,0,0,Agravo de execução
AREsp,786082,,451,false,0,0,0,Agravo de execução
AREsp,786082,,2657,false,0,0,0,Agravo de execução
AREsp,786082,,1267,false,0,0,0,Agravo de execução
AREsp,786082,,531,false,0,0,0,Agravo de execução
AREsp,786082,,207,false,0,0,0,Agravo de execução
AREsp,786082,,58,false,0,0,0,Agravo de execução
