Titulo,Relator,Data de publicação,Data de julgamento,Órgão julgador,Ementa
RE 685493,MARCO AURÉLIO,17/08/20,22/05/20,Tribunal Pleno,"LIBERDADE DE EXPRESSÃO – AGENTE POLÍTICO – HONRA DE TERCEIRO. Ante conflito entre a liberdade de expressão de agente político, na defesa da coisa pública, e honra de terceiro, há de prevalecer o interesse coletivo, da sociedade, não cabendo potencializar o individual."
RE 1075412,MARCO AURÉLIO,08/03/24,29/11/23,Tribunal Pleno,"RECURSO EXTRAORDINÁRIO COM REPERCUSSÃO GERAL. LIBERDADE DE EXPRESSÃO. DIREITO-DEVER DE INFORMAR. REPRODUÇÃO DE ENTREVISTA. RESPONSABILIDADE ADMITIDA NA ORIGEM. DECISÃO MANTIDA. RECURSO DESPROVIDO.    1. A responsabilização civil de veículo de imprensa pela publicação de declarações feitas por outra pessoa em uma entrevista prejudica gravemente a contribuição da imprensa para a discussão de questões de interesse público.     2. Exigir que os jornalistas se distanciem sistemática e formalmente do conteúdo de uma declaração que possa difamar ou prejudicar uma terceira parte não é conciliável com o papel da imprensa de fornecer informações sobre eventos atuais, opiniões e ideias.    3. Caso não seja feita declaração de isenção de responsabilidade (disclaimer), pode haver ofensa a direito da personalidade por meio de publicação, realizada em 1993, de entrevista de político anti-comunista na qual se imputa falsamente a prática de ato de terrorismo, ocorrido em 1966, a pessoa formalmente exonerada pela justiça brasileira há mais de 13 anos.    Tese de julgamento fixada após debates na sessão de julgamento: “1. A plena proteção constitucional à liberdade de imprensa é consagrada pelo binômio liberdade com responsabilidade, vedada qualquer espécie de censura prévia. Admite-se a possibilidade posterior de análise e responsabilização, inclusive com remoção de conteúdo, por informações comprovadamente injuriosas, difamantes, caluniosas, mentirosas, e em relação a eventuais danos materiais e morais. Isso porque os direitos à honra, intimidade, vida privada e à própria imagem formam a proteção constitucional à dignidade da pessoa humana, salvaguardando um espaço íntimo intransponível por intromissões ilícitas externas. 2. Na hipótese de publicação de entrevista em que o entrevistado imputa falsamente prática de crime a terceiro, a empresa jornalística somente poderá ser responsabilizada civilmente se: (i) à época da divulgação, havia indícios concretos da falsidade da imputação; e (ii) o veículo deixou de observar o dever de cuidado na verificação da veracidade dos fatos e na divulgação da existência de tais indícios""."
Rcl 63151 MC-Ref,LUIZ FUX,05/12/23,21/11/23,Primeira Turma,"EMENTA: REFERENDO NA MEDIDA CAUTELAR NA RECLAMAÇÃO. CONSTITUCIONAL. DIREITO À LIBERDADE DE EXPRESSÃO, INFORMAÇÃO E IMPRENSA. DECISÃO RECLAMADA QUE DETERMINOU A REMOÇÃO E SUPRESSÃO DE CONTEÚDO JORNALÍSTICO DO SITE “INTERCEPT BRASIL”. ALEGADA VIOLAÇÃO À AUTORIDADE DA DECISÃO DESTE STF NA ADPF 130. OCORRÊNCIA. LIVRE MERCADO DE IDEIAS QUE SE REVELA ESSENCIAL AO DESENVOLVIMENTO DA DIGNIDADE HUMANA E À QUALIDADE DAS DECISÕES POLÍTICAS EM UM AMBIENTE DEMOCRÁTICO. TUTELA DOS DIREITOS DA PERSONALIDADE QUE DEVE SE DAR, COMO REGRA, A POSTERIORI. VEDAÇÃO À CENSURA PRÉVIA. MEDIDA LIMINAR DEFERIDA AD REFERENDUM DA TURMA."
ARE 790813 RG,MARCO AURÉLIO,09/03/15,11/04/14,Tribunal Pleno,"Direito constitucional. Convivência entre princípios. Limites. Recurso extraordinário em que se discute a existência de violação do princípio do sentimento religioso em face do princípio da liberdade de expressão artística e de imprensa. Publicação, em revista para público adulto, de ensaio fotográfico em que modelo posou portando símbolo cristão. Litígio que não extrapola os limites da situação concreta e específica. Plenário Virtual. Embora o Tribunal, por unanimidade, tenha reputado constitucional a questão, reconheceu, por maioria, a inexistência de sua repercussão geral."
Rcl 20757 AgR,NUNES MARQUES,08/02/22,06/12/21,Segunda Turma,"Ementa: RECLAMAÇÃO. VEDAÇÃO DE REPUBLICAÇÃO DE MATÉRIA. ADPF 130. ADERÊNCIA ESTRITA. CONHECIMENTO DA RECLAMAÇÃO. LIBERDADE DE EXPRESSÃO. LIMITAÇÃO. AUSÊNCIA DE FUNDAMENTAÇÃO MINUDENTE DA EXCEPCIONALIDADE. AGRAVO REGIMENTAL NA RECLAMAÇÃO. PROVIMENTO. RECLAMAÇÃO JULGADA PROCEDENTE.     1. O Supremo Tribunal Federal tem estendido o alcance da decisão proferida no julgamento da ADPF 130 para sublinhar que em qualquer situação de censura, ainda que não propriamente prévia, é possível conhecer da reclamação, de modo que essa extensão para outros casos não necessariamente previstos pelo paradigma justifica-se em razão da persistente vulneração desse direito na cultura brasileira, inclusive por via judicial.    2. A jurisprudência que se cristaliza a partir do precedente da ADPF nº 130 exige que o controle e a limitação da liberdade de expressão operem a posteriori, devendo o Poder Judiciário justificar de forma adequada, necessária e proporcional pontual, temporária e excepcional restrição que a liberdade de expressão venha a ter.    3. Vulnera o julgamento da ADPF 130 o ato judicial que afasta o exercício da liberdade de expressão sem o minudente cotejo analítico exigido por precedentes desta Corte.    4. Agravo regimental provido. Reclamação julgada procedente."
RE 1010606,DIAS TOFFOLI,20/05/21,11/02/21,Tribunal Pleno,"EMENTA    Recurso extraordinário com repercussão geral. Caso Aída Curi. Direito ao esquecimento. Incompatibilidade com a ordem constitucional. Recurso extraordinário não provido.    1. Recurso extraordinário interposto em face de acórdão por meio do qual a Décima Quinta Câmara Cível do Tribunal de Justiça do Estado do Rio de Janeiro negou provimento a apelação em ação indenizatória que objetivava a compensação pecuniária e a reparação material em razão do uso não autorizado da imagem da falecida irmã dos autores, Aída Curi, no programa Linha Direta: Justiça.    2. Os precedentes mais longínquos apontados no debate sobre o chamado direito ao esquecimento passaram ao largo do direito autônomo ao esmaecimento de fatos, dados ou notícias pela passagem do tempo, tendo os julgadores se valido essencialmente de institutos jurídicos hoje bastante consolidados. A utilização de expressões que remetem a alguma modalidade de direito a reclusão ou recolhimento, como droit a l’oubli ou right to be let alone, foi aplicada de forma discreta e muito pontual, com significativa menção, ademais, nas razões de decidir, a direitos da personalidade/privacidade. Já na contemporaneidade, campo mais fértil ao trato do tema pelo advento da sociedade digital, o nominado direito ao esquecimento adquiriu roupagem diversa, sobretudo após o julgamento do chamado Caso González pelo Tribunal de Justiça Europeia, associando-se o problema do esquecimento ao tratamento e à conservação de informações pessoais na internet.    3. Em que pese a existência de vertentes diversas que atribuem significados distintos à expressão direito ao esquecimento, é possível identificar elementos essenciais nas diversas invocações, a partir dos quais se torna possível nominar o direito ao esquecimento como a pretensão apta a impedir a divulgação, seja em plataformas tradicionais ou virtuais, de fatos ou dados verídicos e licitamente obtidos, mas que, em razão da passagem do tempo, teriam se tornado descontextualizados ou destituídos de interesse público relevante.    4. O ordenamento jurídico brasileiro possui expressas e pontuais previsões em que se admite, sob condições específicas, o decurso do tempo como razão para supressão de dados ou informações, em circunstâncias que não configuram, todavia, a pretensão ao direito ao esquecimento. Elas se relacionam com o efeito temporal, mas não consagram um direito a que os sujeitos não sejam confrontados quanto às informações do passado, de modo que eventuais notícias sobre esses sujeitos – publicadas ao tempo em que os dados e as informações estiveram acessíveis – não são alcançadas pelo efeito de ocultamento. Elas permanecem passíveis de circulação se os dados nelas contidos tiverem sido, a seu tempo, licitamente obtidos e tratados. Isso porque a passagem do tempo, por si só, não tem o condão de transmutar uma publicação ou um dado nela contido de lícito para ilícito.    5. A previsão ou aplicação do direito ao esquecimento afronta a liberdade de expressão. Um comando jurídico que eleja a passagem do tempo como restrição à divulgação de informação verdadeira, licitamente obtida e com adequado tratamento dos dados nela inseridos, precisa estar previsto em lei, de modo pontual, clarividente e sem anulação da liberdade de expressão. Ele não pode, ademais, ser fruto apenas de ponderação judicial.    6. O caso concreto se refere ao programa televisivo Linha Direta: Justiça, que, revisitando alguns crimes que abalaram o Brasil, apresentou, dentre alguns casos verídicos que envolviam vítimas de violência contra a mulher , objetos de farta documentação social e jornalística, o caso de Aida Curi, cujos irmãos são autores da ação que deu origem ao presente recurso. Não cabe a aplicação do direito ao esquecimento a esse caso, tendo em vista que a exibição do referido programa não incorreu em afronta ao nome, à imagem, à vida privada da vítima ou de seus familiares. Recurso extraordinário não provido.    8. Fixa-se a seguinte tese: “É incompatível com a Constituição a ideia de um direito ao esquecimento, assim entendido como o poder de obstar, em razão da passagem do tempo, a divulgação de fatos ou dados verídicos e licitamente obtidos e publicados em meios de comunicação social analógicos ou digitais. Eventuais excessos ou abusos no exercício da liberdade de expressão e de informação devem ser analisados caso a caso, a partir dos parâmetros constitucionais - especialmente os relativos à proteção da honra, da imagem, da privacidade e da personalidade em geral - e das expressas e específicas previsões legais nos âmbitos penal e cível”."
Rcl 22328,ROBERTO BARROSO,10/05/18,06/03/18,Primeira Turma,"Direito Constitucional. Agravo regimental em reclamação. Liberdade de expressão. Decisão judicial que determinou a retirada de matéria jornalística de sítio eletrônico. Afronta ao julgado na ADPF 130. Procedência.     1. O Supremo Tribunal Federal tem sido mais flexível na admissão de reclamação em matéria de liberdade de expressão, em razão da persistente vulneração desse direito na cultura brasileira, inclusive por via judicial.    2. No julgamento da ADPF 130, o STF proibiu enfaticamente a censura de publicações jornalísticas, bem como tornou excepcional qualquer tipo de intervenção estatal na divulgação de notícias e de opiniões.    3. A liberdade de expressão desfruta de uma posição preferencial no Estado democrático brasileiro, por ser uma pré-condição para o exercício esclarecido dos demais direitos e liberdades.    4. Eventual uso abusivo da liberdade de expressão deve ser reparado, preferencialmente, por meio de retificação, direito de resposta ou indenização. Ao determinar a retirada de matéria jornalística de sítio eletrônico de meio de comunicação, a decisão reclamada violou essa orientação.    5. Reclamação julgada procedente."
Pet 10391 AgR,ALEXANDRE DE MORAES,14/02/23,14/11/22,Tribunal Pleno,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Agravo Regimental desprovido."
RE 1075412 RG,MARCO AURÉLIO,22/06/18,17/05/18,Tribunal Pleno,LIBERDADE DE EXPRESSÃO - DIREITO-DEVER DE INFORMAR - REPRODUÇÃO DE ENTREVISTA - JORNAL - RESPONSABILIDADE ADMITIDA NA ORIGEM - RECURSO EXTRAORDINÁRIO - REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral a controvérsia alusiva à possibilidade ou não de responsabilizar civilmente veículo de comunicação ante publicação de entrevista de terceiro.
ADI 2566,ALEXANDRE DE MORAES,23/10/18,16/05/18,Tribunal Pleno,"Ementa: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. LEI N. 9.612/98. RÁDIODIFUSÃO COMUNITÁRIA. PROBIÇÃO DO PROSELITISMO. INCONSTITUCIONALIDADE. PROCEDÊNCIA DA AÇÃO DIRETA.    1. A liberdade de expressão representa tanto o direito de não ser arbitrariamente privado ou impedido de manifestar seu próprio pensamento quanto o direito coletivo de receber informações e de conhecer a expressão do pensamento alheio.    2. Por ser um instrumento para a garantia de outros direitos, a jurisprudência do Supremo Tribunal Federal reconhece a primazia da liberdade de expressão.    3. A liberdade religiosa não é exercível apenas em privado, mas também no espaço público, e inclui o direito de tentar convencer os outros, por meio do ensinamento, a mudar de religião. O discurso proselitista é, pois, inerente à liberdade de expressão religiosa. Precedentes.    4. A liberdade política pressupõe a livre manifestação do pensamento e a formulação de discurso persuasivo e o uso do argumentos críticos. Consenso e debate público informado pressupõem a livre troca de ideias e não apenas a divulgação de informações.    5. O artigo 220 da Constituição Federal expressamente consagra a liberdade de expressão sob qualquer forma, processo ou veículo, hipótese que inclui o serviço de radiodifusão comunitária.    6. Viola a Constituição Federal a proibição de veiculação de discurso proselitista em serviço de radiodifusão comunitária.    7. Ação direta julgada procedente."
Rcl 58048 AgR,NUNES MARQUES,15/06/23,18/04/23,Segunda Turma,"EMENTA    AGRAVO REGIMENTAL NA RECLAMAÇÃO. POSTAGEM DA DEFENSORIA PÚBLICA DO ESTADO DE SANTA CATARINA NO INSTAGRAM. DETERMINAÇÃO DE EXCLUSÃO LIMINAR. DESCONFORMIDADE COM OS FUNDAMENTOS DA ADPF Nº 130/DF. PRECEDENTES. PREVALÊNCIA DA LIBERDADE DE EXPRESSÃO, CUJO EXERCÍCIO, CONTUDO, DEMANDA RESPONSABILIDADE DO ÓRGÃO PÚBLICO.    1. No intuito de proteger a ampla liberdade de expressão e de comunicação, o Supremo Tribunal Federal tem sido mais flexível na admissão de reclamação, adotando-se como parâmetro de confronto os fundamentos albergados no julgamento da ADPF nº 130/DF. Precedentes.    2. A decisão judicial que, em sede de cognição sumária, determina a exclusão de postagem feita pela Defensoria Pública, ou seja, que opta initio litis pela supressão liminar da liberdade de informação, aparta-se das diretrizes e dos fundamentos estabelecidos pela Suprema Corte no julgamento paradigma.    3. Agravo regimental provido, para julgar procedente o pedido reclamatório, permitindo-se à Defensoria Pública do Estado de Santa Catarina que, a seu critério, promova o retorno da postagem, até o julgamento final da ação de origem."
Rcl 47212 AgR,ROBERTO BARROSO,29/09/21,20/09/21,Primeira Turma,"EMENTA: Direito constitucional. Agravo em Reclamação. Liberdade de expressão. ADPF 130. Remoção de trecho de vídeo de debate jornalístico. Alegada ofensa à honra de ex-autoridade pública.    1.  Reclamação contra decisão do Tribunal de Justiça do Estado do Paraná (TJ/PR) que determinou a remoção de trecho de vídeo de debate jornalístico, postado em canal do Youtube, por conter conteúdo falso e ofensivo à honra de ex-autoridade pública.    2.  No julgamento da ADPF 130, o Supremo Tribunal Federal (STF) proibiu enfaticamente a censura de publicações jornalísticas, bem como tornou excepcional qualquer tipo de intervenção estatal na divulgação de notícias e de opiniões.    3.  A liberdade de expressão desfruta de uma posição preferencial no Estado democrático brasileiro, por ser uma pré-condição para o exercício esclarecido dos demais direitos e liberdades.    4.  O STF tem sido mais flexível na admissão de reclamação em matéria de liberdade de expressão, em razão da persistente vulneração desse direito na cultura brasileira, inclusive por via judicial. Assim, em qualquer situação de censura, ainda que não propriamente prévia, é possível conhecer da ação.    5.  Os elementos constantes nos autos, porém, demonstram a ausência de aderência entre a decisão atacada e o paradigma tido como descumprido. Ademais, o confronto entre liberdade de expressão e o direito à honra de vítimas em razão da divulgação de notícias falsas injuriosas configura uma situação recente, que não foi sequer apreciada na ADPF 130.    6.  Agravo interno a que se nega provimento, mantida a decisão que negou seguimento à Reclamação. Aplicação da multa prevista no art. 1.021, § 4º, do CPC/2015."
